finding_description,rectification_steps,man_hours_per_step,work_centres_per_step,materials_info
"laynard door cabinet lavatory not install pos l53,l61","['obey all of the warnings, cautions, and', 'install lanyard of door cabinet']","[1.0, 1.0]","['gah310c1', 'gah310c1']",0
lead bonding chaffing 1ea,['pse do rectification due to found lead b'],[1.0],['gah210a1'],nan
leading edge verstab panel found erosion,"['do repair coating on the surface,,']",[12.0],['w403'],0
left elevator t/e upper and lower surfaces existing repair need repaint,"['obey all of the warnings, caution, and n', 'do repaint coating on the surface', 'restore area back to its serviceable con']","[0.1, 7.0, 0.1]","['w403', 'w403', 'w403']",0
left wing - bonding cable at 574gb tear off 2ea,['cover by order 805140335 and 805142392'],[0.1],['gah330e1'],nan
left wing standby pump connector found light corrosion,['cover by mdr 805264955'],[0.1],['gah330e1'],nan
"lens emergency ceiling light 50g,50d not install",['install lens of emergency ceiling light'],[1.5],['gah310c1'],01000819:d1347 (lens (opt pn: 0001000819))
"lg selector valve found black deposit at port a, c, d, h","['obey all of the warnings, cautions, and', 'replace packing union', 'do functional test of the normal extenti', 'restore area back to its serviceable con']","[0.5, 3.0, 4.0, 0.5]","['gah310a1', 'gah310a1', 'gah310a1', 'gah310a1']",0
lh <(>&<)> rh wing inner tank need purging,"['obey all of the warnings, cautions and n', 'do purging lh and rh wing inner tank', 'restore area back to its serviceable con']","[0.5, 5.0, 0.5]","['gah310s1', 'gah310s1', 'gah310s1']",nan
lh air conditioning duct connection leak,"['obey all warnings, cautions and notes as', 'replace combo seal at lh air conditionin', 'do the leak check at the connection', 'restore area back to its serviceable con']","[0.5, 16.0, 2.0, 0.5]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",0
lh aircond compartment light not illuminate 1ea,"['replace lamp at lh air conditioning comp', 'do functional test of light']","[2.0, 1.0]","['gah310e1', 'gah310e1']","en2240-2232:i9005 (lamp)
en2240-2232:i9005 (lamp)"
lh and rh aileron access panel need reseal,['perform resealant at affected area.'],[4.0],['gah330s1'],0
lh and rh elevator access panel need resealant,"['obey all of the warnings, cautions and n', 'do apply sealant lh and rh elevator acce', 'restore area back to its serviceable con']","[0.1, 4.0, 1.0]","['gah320s1', 'gah310s1', 'gah310s1']",0
lh and rh fuel pump fairing need reseal,['perform resealant at affected area.'],[4.0],['gah330s1'],0
lh and rh horstab leading edge tip paint erotion,"['do repair coating on the surface,,']",[8.0],['w403'],0
lh and rh nav light need resealant,['apply sealant at lh and rh navigation li'],[5.0],['gah310s1'],0
lh and rh wing inner tank rib 1 acces panel need purging,"['obey all of the warnings, cautions, and', 'do purge and vent lh and rh wing inner t', 'restore area back to its serviceable con']","[0.1, 4.0, 0.1]","['gah310s1', 'gah310s1', 'gah310s1']",nan
lh and rh wing tank need purging,"['obey all warnings, cautions and notes as', 'do purge lh and rh wing tank', 'restore area back to its serviceable con']","[0.5, 6.0, 0.5]","['gah310s1', 'gah310s1', 'gah310s1']",nan
lh and rh wing tank panel need replacement oring,"['obey all of the warnings, cautions, and', 'replace ring seal rh and lh wing tank pa', 'restore area back to its serviceable con']","[0.5, 10.0, 0.5]","['gah310a1', 'gah310s1', 'gah310a1']",0
lh apron panel at leading edge joint area teflon crack,"['cover by mdr 805164273', 'note :', 'remove front ths fairing assembly 331 at', 'remove and discard part.', 'setting new part on position.', 'install parts with suitable fasteners.', 'restore front ths fairing assembly 331.', 'do operational test of ths.']","[0.1, 1.0, 2.0, 2.0, 3.0, 4.0, 2.0, 2.0]","['gah310s1', 'gah310s1', 'gah310a1', 'gah310s1', 'gah310s1', 'gah310s1', 'gah310a1', 'gah310a1']",0
lh apu door hinge stripe corrosion,"['note :', 'remove lh apu access door for access rep', 'remove and discard damaged part item no.', 'setting new part on position.', 'apply protective treatment to all bare s', 'install new part wet with sealant.', 'install lh apu access door after access']","[0.0, 3.0, 14.0, 6.0, 3.0, 14.0, 3.0]","['gah320zz', 'gah310a1', 'gah310s1', 'gah310s1', 'gah310s1', 'gah310s1', 'gah310a1']",nan
lh elevator bonding cable broken 3 ea,['cover by order 804055051'],[0.0],['gah320zz'],nan
lh elevator hinge no#4 found bonding broken 1ea,"['obey all of the warnings, cautions, and', 'replace bonding lh elevator hinge no#4', 'do bonding jumper resistance test', 'restore area back to its serviceable con']","[0.1, 2.0, 1.0, 0.5]","['gah310a1', 'gah310a1', 'gah310a1', 'gah310a1']",0
lh elevator hinge no.4 bonding broken 1ea,['cover by mdr 805107232'],[0.1],['gah310e1'],0
lh elevator hinge no.7 bonding broken 1ea,"['obey all warnings, cautions and notes as', 'replace bonding jumper at lh elevator', 'do bonding jumper resistance check', 'restore area back to its serviceable con']","[0.5, 2.0, 1.0, 0.5]","['gah310e1', 'gah310e1', 'gah310e1', 'gah310e1']",0
lh elevator hinge panel 335 bb plate nut broken 2 ea,['replace plate nut lh elevator hinge pane'],[3.0],['gah320s1'],0
lh elevator servo blue sys connector corrosion fin 3cs1-a and 3cs1-b,['cover by mdr 805263911'],[0.1],['gah310e1'],nan
lh elevator t/e upper side filler peel off,['restore surface protection treatment and'],[4.0],['w403'],0
lh elevator trailing edge lower side filler compound deteriorate btw rib9 and rib10,"['cover by mdr 805263912', 'cover by mdr 805263912', 'cover by mdr 805263912', 'cover by mdr 805263912']","[0.1, 2.0, 8.0, 4.0]","['w302', 'w302', 'w302', 'w403']",0
lh elevator upper surface found puncture,"['obey all of the warnings, cautions, and', 'do visual inspection and measure damage', 'perform permanent repair to the damage a', 'restore surface protection to the repair', 'restore area back to its serviceable con']","[0.1, 2.0, 8.0, 4.0, 0.1]","['w302', 'w302', 'w302', 'w403', 'w403']",0
lh elevator upper surface paint eorded at one area btw rib 10 and rib 11,['cover by mdr 805263913'],[9.0],['w403'],nan
lh engscan taken for pk-gpp,"['install lh engine scan lamp', 'do operational test eng scan']","[3.0, 1.0]","['gah320e1', 'gah320e1']",0
lh fixed window found microflakes along lower edge,"['obey all of the warnings, cautions, and', 'cleaning the fixed window lh', 'do check limitation of fixed window caus']","[0.1, 6.0, 4.0]","['gah310c1', 'gah310c1', 'gah310c1']",0
lh fuel shut-off valve stuck open,['cover by mdr 805264956'],[0.1],['gah320a1'],nan
lh fuselage around exhaust holes fasteners and skin corrosion at btw fr 73-74 and btw str 38-41 lh,"['do paint stripping at affected area', 'do detail visual inspection to ensure de', 'drill out and remove affected fastener,', 'do blend out corrosion with smooth polis', 'perform grid mapping with 10x10 mm', 'do hfec inspection to ensure for any cra', 'do ro-to test to ensure no crack at all', 'do measurement of initial and remaining', 'damage assesment spot 1 & 2:', 'damage assesment spot 3:', 'perform flap peening with intensity 0.15', 'install fasteners affected.', 'restore surface protection and paint fin', 'defect at spot 1 & 2 is define as repair']","[2.0, 1.0, 3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 10.0, 8.0, 2.0, 0.0]","['w403', 'gah310s1', 'gah310s1', 'gah310s1', 'gah310s1', 'w807', 'w807', 'w808', 'gah310s1', 'gah310s1', 'gah310s1', 'gah310s1', 'w403', 'gah310s1']",0
lh fuselage exhaust hole btw fr 72-74 found paint peel off,['cover by mdr 805264957'],[4.0],['w403'],nan
lh fuselage fr 74 - 75 str 39 - 41 existing doubler corrosion,"['note :', 'remove sidewall for repair access', 'remove the duct of galley air chiller fo', 'remove vacuum generator for access', 'remove and discard existing doubler', 'cut out inner skin and break sharp edges', 'prepare the repair parts (doubler and fi', 'apply surface protection to all bare sur', 'install wet all repair parts', 'seal the edges of doubler', 'apply exterior paint finish', 'apply storage preservation to the repair', 'install duct of the galley air chiller', 'install the vacuum generator', 'restore sidewall', 'do operational test of the galley air ch', 'do leak check of the vacuum toilet syste', 'note :']","[0.0, 2.0, 2.0, 2.0, 4.0, 2.0, 16.0, 2.0, 16.0, 2.0, 2.0, 1.0, 2.0, 2.0, 2.0, 0.3, 0.5, 0.0]","['gah310zz', 'gah310e1', 'gah310c1', 'gah310c1', 'gah310s1', 'gah310s1', 'gah310s1', 'w403', 'gah310s1', 'gah310s1', 'w403', 'gah310c1', 'gah310c1', 'gah310c1', 'gah310e1', 'gah310c1', 'gah310c1', 'gah310zz']","515k011-910012:0zx56 (sealant primer (515k011-910-012))
hl11vf6-4:92215 (hilok (tbr))
hl11vf6-4:92215 (hilok (tbr))
hl11vf6-5:92215 (hi-lok (tbr))
hl11vf6-5:92215 (hi-lok (tbr))
hl11vf6-5:92215 (hi-lok (tbr))
hl11vf6-5:92215 (hi-lok (tbr))
hl70-6:92215 (collar (tbr))
hl70-6:92215 (collar (tbr))
hl70-6:92215 (collar (tbr))
hl79-6:5m902 (collar (spec. bacc30m6))
hl79-6:5m902 (collar (spec. bacc30m6))
nas1252-10l:80205 (washer)
hl11vf6-3:73197 (hi-lock / pin (tbr))
hl11vf6-3:73197 (hi-lock / pin (tbr))
hl11vf6-3:73197 (hi-lock / pin (tbr))
hl11vf6-3:73197 (hi-lock / pin (tbr))
10p2044mnf-ec291-tr114:91342 (epoxy primer yellow)
ecl-g-1622-pc233-tr109:91342 (paint-eclipse-white bac70846)
41122-51qa-0-428:91342 (alexit-h/s basecoat (turquoise p7472c))
41122-628x-0-428:91342 (alexit-h/s basecoat (light green p324c))
dan6-6-3:d8518 (pin)
dan6-6-3:d8518 (pin)
dan6-6-3:d8518 (pin)
dan6-6-3:d8518 (pin)
ams4462-100:qa251 (al-clad plate 2024-t3, size 100x48x144)"
lh fuselage fr 76 - 77 str 39 - 41 skin corrosion,"['do paint stripping surrounding affected', 'do external dvi to ensure damage applica', 'remove fasteners affected.', 'blend out corrosion on skin with width >', 'do hfec inspect for any crack.', 'do measure initial and remaining skin th', 'damage assesment:', 'install fasteners wet with sealant.', 'restore surface protection treatment and', 'damage assesment :']","[2.0, 1.0, 6.0, 6.0, 1.0, 1.0, 0.0, 6.0, 8.0, 0.0]","['w403', 'gah330s1', 'gah310s1', 'gah310s1', 'w807', 'w808', 'gah310zz', 'gah310s1', 'w403', 'gah310zz']","t5351:16837 (paint stripper/remover turco5351)
10p2044mnf-ec291-tr114:91342 (epoxy primer yellow)
ecl-g-1622-pc233-tr109:91342 (paint-eclipse-white bac70846)
en6069d5-07:i9005 (rivet)
en6069d5-07:i9005 (rivet)"
lh fuselage rivet head corrosion at btw fr 70 and str 30-31 lh,"['remove the sidewall panel of bulk cargo', 'remove the insulation blanket for access', 'replace affected fasteners', 'apply appropriate painting to affected a', 'install the insulation blanket', 'install the sidewall panel of bulk cargo']","[2.0, 2.0, 1.0, 2.0, 2.0, 2.0]","['gah310a1', 'gah310a1', 'gah310s1', 'w403', 'gah310a1', 'gah310a1']",0
lh fuselage rivet head light corrosion at fr 68 and btw str 30 - 31 lh,"['remove the sidewall panel of bulk cargo', 'remove the insulation blanket for access', 'replace affected fasteners', 'apply appropriate painting to affected a', 'install the insulation blanket', 'install the sidewall panel of bulk cargo']","[2.0, 2.0, 1.0, 2.0, 2.0, 2.0]","['gah310a1', 'gah310a1', 'gah310s1', 'w403', 'gah310a1', 'gah310a1']",0
lh horstab connector corrosion fin 77qt-a,['cover by mdr 805263914'],[0.1],['gah310e1'],nan
lh horstab connector corrosion fin 79qt1-a,['cover by mdr 805263915'],[0.1],['gah310e1'],nan
lh horstab electrical harnesses tie wrap broken 50ea,"['obey all warnings, cautions and notes as', 'replace tiewraps at lh horstab', 'restore area back to its serviceable con']","[0.5, 3.0, 0.5]","['gah310e1', 'gah310e1', 'gah310e1']",0
lh horstab hoist point stickers was missing 2ea,['install hoist point cover patch on the s'],[4.0],['w403'],0
lh horstab l/e 331bt paint erosion at upper surface edge,"['obey all of the warnings, cautions, and', 'remove panel lh horstab l/e 331bt', 'restore surface protection', 'install panel lh horstab l/e 331bt', 'restore area back to its serviceable con']","[0.5, 4.0, 2.0, 4.0, 0.5]","['gah310a1', 'gah310a1', 'w403', 'gah310a1', 'gah310a1']",0
lh horstab l/e 331bt plate nut broken 2ea,['replace broken plate nuts'],[2.0],['gah310s1'],0
lh horstab l/e paint peel off,['do repaint on the surface'],[2.0],['w403'],0
lh horstab l/e panel 331ct upper surface paint eroded alongside fillet seal,"['obey all of the warnings, caution, and n', 'do repaint coating on the surface', 'restore area back to its serviceable con']","[0.1, 5.0, 0.1]","['w403', 'w403', 'w403']",0
lh horstab l/e panel 331dt upper surface paint eroded alongside fillet seal,"['obey all of the warnings, caution, and n', 'do repaint coating on the surface', 'restore area back to its serviceable con']","[0.1, 5.0, 0.1]","['w403', 'w403', 'w403']",0
lh horstab leading edge tip need repaint,['do repair coating on the surface'],[5.0],['w403'],"37124-00000:gmfdm (aviox primer 37124)
77702-54569:gmfdm (paint grey bac 707 a320)"
lh horstab t/e elec harness snap cut 10 ea,"['obey all warnings, cautions and notes as', 'replace lh horstab t/e elec harness tie']","[0.5, 3.0]","['gah310e1', 'gah310e1']",0
lh horstab t/e fqi connector corroded,"['obey all of the warnings, cautions and n', 'do clean up lh horstab t/e fqi']","[0.1, 5.0]","['gah310e1', 'gah310e1']",0
lh horstab tip fwd face paint eroded,"['cover by order 805108489', 'obey all of the warnings, caution, and n', 'do repaint coating on the surface', 'restore area back to its serviceable con']","[0.1, 0.1, 5.0, 0.1]","['w403', 'w403', 'w403', 'w403']",nan
lh horstab tip need sealant,['apply polysulfide sealant-low density mu'],[3.0],['gah310s1'],0
lh horstab trailing edge need new tie wrap 50ea approx for harness clampdue to rupture,['cover by mdr 805154502'],[0.1],['gah310e1'],nan
lh hyd compartment light not illuminate 1ea,"['replace lamp at lh hyd compartment', 'do functional test of light']","[2.0, 1.0]","['gah310e1', 'gah310e1']",en2240-2232:i9005 (lamp)
lh inboard water drain valve found leak,"['replace outer valve lh wing inboard', 'do the leak check at water drain valve l']","[2.0, 2.0]","['gah320a1', 'gah320a1']",nan
lh intertank valve connector corrosion 2ea fin 109qb1a and 109qb1b,"['replace connector fin 109qb1a and 109qb1', 'do operational test of the emergency iso']","[5.0, 2.0]","['gah320e1', 'gah320e1']",nan
lh l/e rudder surface found erotion at several place,"['obey all of the warnings, cautions, and', 'do visual inspection to the suspected ar', 'restore surface protection', 'restore area back to its serviceable con']","[0.1, 2.0, 4.0, 0.1]","['w302', 'w302', 'w403', 'w403']",0
lh logo light not illuminate,"['obey all warnings, cautions and notes as', 'replace lh logo light', 'do test of the incandescent and halogen']","[0.5, 3.0, 2.0]","['gah320e1', 'gah310e1', 'gah310e1']",0
lh lower fuselage found fasteners rivet head corrosion at btw fr 73-74 and btw str 41-42 lh,"['do chemical paint strippping at affected', 'do external dvi to ensure no any damage.', 'replace fasteners affected.', 'restore surface protection and paint fin']","[2.0, 1.0, 15.0, 3.0]","['w403', 'gah330s1', 'gah330s1', 'w403']",0
lh lower fuselage intake inlet swings inwards found paint peel off,"['cover by mdr 805163116', 'do repaint exterior surface finish']","[1.0, 1.0]","['w403', 'w403']",nan
lh lower fuselage near holes underside found skin light corrosion at fr 78-79 and btw str 57-56 lh,"['do paint stripping surrounding affected', 'remove fasteners for repair access if ne', 'do external dvi to ensure no any damage.', 'blend out corrosion with polish smooth c', 'do hfec inspect for any crack.', 'if fastener removed', 'perform measurement for presence of clad', 'do measure initial and remaining skin th', 'damage assesment :', 'restore surface protection and paint fin']","[0.1, 4.0, 2.0, 5.0, 1.0, 1.0, 1.0, 1.0, 0.0, 2.0]","['w403', 'gah330s1', 'gah330s1', 'gah330s1', 'w807', 'w807', 'w807', 'w808', 'gah310s1', 'w403']",0
