finding_description,rectification_steps,man_hours_per_step,work_centres_per_step,materials_info,plants_per_step,order_info
lh horstab t/e hinge bearing #2 migration,"['obey all of the warnings, cautions, and', 'replace hinge arm fitting', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah320a1', 'gah320a1', 'gah310a1']","ms24665-151:96906 (cotter pin (r/b bacp18bc02a04p))
f5598021000600:fape3 (fitting assy)","['gah3', 'gah3', 'gah3']",805264542
lh horstab t/e inboard panel upper side found paint peel off,['cover by jobcard paint external livery o'],[0.1],['gah320a1'],"nsa5101-029:f5442 (sleeve)
nsa5101-029:f5442 (sleeve)",['gah3'],805264543
lh horstab t/e outboard lower side paint peel off,['cover by jobcard paint external livery o'],[2.0],['gah320a1'],"ms14102-14:96906 (bearing)
ms14102-14:96906 (bearing)
ms14102-14:96906 (bearing)
nsa5101-029:f5442 (sleeve)",['gah3'],805264545
lh horstab tip found paint peel off,['restore the surface protection and apply'],[0.1],['w403'],"pac33cf-4360-3031-11l:92108 (primer beidge)
ca8800b707ctthinner:gmfdm (paint-l/gray)",['wspt'],805425191
lh horstab tip panel leading edge paint peel off,['cover by livery jc 805258901'],[2.0],['w403'],,['wspt'],805258774
lh horstab trailing edge pnl 334gb found screw stuck 20ea,"['obey all warnings, cautions and notes as', 'remove screw stuck', 'install new screw', 'restore area back to its serviceable con']","[0.5, 6.0, 3.0, 0.5]","['gah330s1', 'gah330s1', 'gah330a1', 'gah330a1']","dan169e3-10:d8518 (screw)
dan169e3-12:d8518 (screw)
ms21060l3:96906 (nut)
abs0112-24-03:fape3 (rivet)
nas1153v4:80205 (screw)","['gah3', 'gah3', 'gah3', 'gah3']",805391917
lh inboard aileron panel paint peel off,"['obey all of the warnings, caution, and n', 'remove lh inboard aileron panel', 'restore the surface protection and apply', 'install lh inboard aileron panel', 'restore area back to its serviceable con']","[0.1, 1.0, 2.0, 1.0, 0.1]","['gah330a1', 'gah330a1', 'w403', 'gah330a1', 'gah330a1']","pac33cf-4360-3031-11l:92108 (primer beidge)
ca8800b707ctthinner:gmfdm (paint-l/gray)","['gah3', 'gah3', 'wspt', 'gah3', 'gah3']",805467764
lh inboard flap blanking plug broken 20 ea,"['obey all of the warnings, cautions and n', 'replace plug', 'restore area back to its serviceable con']","[0.5, 2.0, 0.5]","['gah330a1', 'gah320a1', 'gah320a1']",g5757123020000:fape3 (plug),"['gah3', 'gah3', 'gah3']",805285684
lh l/e elevator bonding broken 3ea,"['obey all of the warnings, cautions, and', 'replace bonding', 'do a resistance check of the bonding', 'restore area back to its serviceable con']","[0.1, 9.0, 6.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",abs1509a200nn:fape3 (braid),"['gah3', 'gah3', 'gah3', 'gah3']",805468595
lh l/e elevator panel 335eb found nut broken 2ea,"['obey all of the warnings, cautions, and', 'replace panel nut', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah330s1', 'gah330s1', 'gah330s1']","ms21060l3:96906 (nut)
abs0112-24-05:fape3 (rivet)
abs0112-24-05:fape3 (rivet)","['gah3', 'gah3', 'gah3']",805468599
lh lanyard found broken 2ea,['cover by order 805465214'],[0.1],['gah310zz'],,['gah3'],805465231
lh logo light not ill,"['obey all of the warnings, cautions, and', 'replace bulb lh logo light', 'do a test lh logo light', 'restore area back to its serviceable con']","[0.1, 2.0, 1.0, 0.5]","['gah310e1', 'gah330e1', 'gah330e1', 'gah330e1']","hlx64621:017j3 (lamp (prefer use osram product))
hlx64621:017j3 (lamp (prefer use osram product))","['gah3', 'gah3', 'gah3', 'gah3']",805467684
lh lower fuselage found dent between fr 22-23 and between stgr 51-52,"['obey all warnings, cautions, and notes a', 'do detailed visual inspection exact loca', 'measure dent parameters and justify allo', 'do external and internal hfec inspection', 'restore area back to its serviceable con', 'this repair is define as repair category']","[1.0, 1.0, 5.0, 2.0, 1.0, 1.0]","['gah330s1', 'gah330s1', 'gah330s1', 'w808', 'gah330s1', 'gah330s1']",,"['gah3', 'gah3', 'gah3', 'wsnc', 'gah3', 'gah3']",805439764
lh main and stdby pump fairing all screw corrosion (21 ea),"['obey all of the warnings, cautions and n', 'replace screw lh main and stby pump fair', 'restore area back to its serviceable con']","[0.5, 5.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1']","nas1790-3r4:80205 (bolt)
nas1790-3r5:80205 (bolt)","['gah3', 'gah3', 'gah3']",805375179
lh main l/g door bonding broken 1ea,"['obey all warnings, cautions and notes as', 'replace bonding at lh main l/g door', 'do bonding jumper resistance check', 'restore area back to its serviceable con']","[0.5, 2.0, 1.0, 0.5]","['gah310e1', 'gah330e1', 'gah330e1', 'gah330e1']","e0092-10-250nn:f5442 (lead)
e0092-41-160nn:f5442 (lead)","['gah3', 'gah3', 'gah3', 'gah3']",805573281
lh main landing gear door aft pad found chafing,"['read and fully understad the specified m', 'blend out damage & do smooth polished co', 'do hfec inspection to ensure any crack.', 'perform skin grid mapping and', 'damage assesment:', 'depend on all parameter above, this rewo', 'restore surface protection', 'restore area back to its serviceable con']","[1.0, 5.0, 6.0, 6.0, 1.0, 1.0, 3.0, 1.0]","['gah330s1', 'gah330s1', 'w807', 'w808', 'gah330s1', 'gah330s1', 'w403', 'w403']","alodine1200s:71410 (chromat conversion coating)
f5281021120000:fape3 (bracket-stop (lh))
pu665440:gmfdm (polyurethane topcoat grey)
43553600-kaha:92108 (pac33green primer)","['gah3', 'gah3', 'wsnc', 'wsnc', 'gah3', 'gah3', 'wspt', 'wspt']",805576758
lh main landing gear door grease nipple not install at actuator door,"['obey all of the warnings, cautions, and', 'install lubrication fitting', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1']","as15001-1p:81343 (fitting, grease)","['gah3', 'gah3', 'gah3']",805576749
lh mixer insulation duct near recirculation fan was torn,"['obey all of the warnings, cautions and n', 'do repair lh mixer duct near recirculati', 'do leak check connection area', 'restore area back to its serviceable con']","[0.5, 5.0, 2.0, 0.5]","['gah310e1', 'gah330e1', 'gah330e1', 'gah330e1']",abs5662c03:fape3 (tape),"['gah3', 'gah3', 'gah3', 'gah3']",805376295
lh mlg aft fitting stopper chafing,"['notice:', 'damage assessment:', 'remove mlg door stop bracket', 'perform replacement of shim', 'apply appropriate surface treatment and', 'install mlg door stop bracket']","[1.0, 2.0, 4.0, 4.0, 2.0, 4.0]","['gah330s1', 'gah330s1', 'gah330a1', 'gah330s1', 'w403', 'gah330a1']","asna2051dcj3210:f5442 (rivet flush head)
f5281050320400:fape3 (shim)
f5281050320400:fape3 (shim)","['gah3', 'gah3', 'gah3', 'gah3', 'wspt', 'gah3']",805265461
lh mlg aft pintle pin bracket need resealent,"['obey all warnings, cautions, and notes a', 're-seal lh mlg aft pintle pin bracket', 'restore area back to its serviceable con']","[0.5, 3.0, 0.5]","['gah330s1', 'gah330s1', 'gah330s1']","ps870b2:83574 (sealant bms 5-95 class b2 (ea) (ct 20))
ardroxav30:0l040 (corrosion inhibiting compound)","['gah3', 'gah3', 'gah3']",805577311
lh mlg aft pintle pin bush has sign of migration,"['obey all of the warnings, caution, and n', 'engineering note :', 'remove the damaged fillet sealant from t', 'do a detailed inspection of the area inc', 'reseal assembly using sealant', 'check the aft pintle pin clearance gaps', 'paint a witness mark on the bush and lug', 'apply corrosion preventative compound (c', 'restore area back to its serviceable con']","[0.5, 0.5, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 0.5]","['gah330a1', 'gah330a1', 'gah330s1', 'gah330a1', 'gah330s1', 'gah330a1', 'w403', 'gah330a1', 'gah330a1']","ps870b2:83574 (sealant bms 5-95 class b2 (ea) (ct 20))
ardroxav30:0l040 (corrosion inhibiting compound)
77827g10058:gmfdm (white bac1317 base colour)
pr148af:92108 (adhesion promoter)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'wspt', 'gah3', 'gah3']",805582036
lh mlg aft pintle pin platting peel off,"['obey all of the warnings, caution, and n', 'do repair paint lh mlg aft pintle pin', 'restore area back to its serviceable con']","[0.1, 5.0, 0.1]","['w403', 'w403', 'w403']",,"['wspt', 'wspt', 'wspt']",805584052
lh mlg alt brake manifold accu pressure gauge plug missing & fluid empty,"['obey all of the warnings, caution, and n', 'replace lh mlg alt brake manifold accu p', 'do test', 'restore area back to its serviceable con']","[0.5, 4.0, 2.0, 0.1]","['gah310a1', 'gah310a1', 'gah310a1', 'gah310a1']","ms24665-132:96906 (pin (not for brake torque mlg a330))
0f28-021:k0680 (ring)
nsa5472-10k7:f5442 (nut)
nsa5472-14k7:f5442 (nut)
nsa5472-16k7:f5442 (nut)
nsa5472-12k7:f5442 (nut)
c20288000-2:f6137 (accumulator, brake)
en6114-10x24:i9005 (pin 1st oversize)
en6114-10x29:i9005 (pin 1st oversize)
en6114-10x30:i9005 (pin 1st oversize)
en6114-12x29:i9005 (pin 1st oversize)
en6114-12x32:i9005 (pin 1st oversize)
en6114-14x32:i9005 (pin 1st oversize)
en6114-16x28:i9005 (pin 1st oversize)
en6114-16x30:i9005 (pin 1st oversize)
en6114-16x35:i9005 (pin 1st oversize)
en6114-8x20:i9005 (pin 1st oversize)
en6114-14x31:i9005 (pin 1st oversize)
en6114-16x40:i9005 (pin 1st oversize)
en6114-16x50:i9005 (pin 1st oversize)
f5312053520000:fape3 (ring spacer)","['gah3', 'gah3', 'gah3', 'gah3']",805129264
lh mlg alternate brake accumulator internal leak ( pressure more than 1 bar below the minimum limit and no found external leak,"['obey all of the warnings, cautions, and', 'replace alternate brake return accumulat', 'pressurize the alternate brake return ac', 'do operational test of the alternate bra', 'do leak check of the brake return accumu', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 2.0, 1.0, 0.5]","['gah310a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']","ms9581-10:99193 (washer)
c20288000-1:f6137 (accumulator, brake)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805434556
lh mlg axle found scratch,"['obey all of the warnings, cautions and n', 'remove scratch at lh mlg axle', 'restore area back to its serviceable con']","[0.5, 4.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1']",3m-7447-a-vfn:52152 (scotch brite),"['gah3', 'gah3', 'gah3']",805584046
lh mlg axle sleeve #5 found nick,"['obey all of the warnings, cautions, and', 'measure axle sleeve#5 due to fretting', 'remove sharp edge use abrasive paper', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",velcrop320:gmfdm (abrasive paper 5' grade 320),"['gah3', 'gah3', 'gah3', 'gah3']",805582480
lh mlg axle sleeve #6 found nick,"['obey all of the warnings, cautions, and', 'measure axle sleeve#6 due to fretting', 'remove sharp edge use abrasive paper', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",velcrop320:gmfdm (abrasive paper 5' grade 320),"['gah3', 'gah3', 'gah3', 'gah3']",805582661
lh mlg bogie lug need torque check,"['covered by order no. 805472394', 'obey all of the warnings, cautions, and', 'do retorque the bogie jack dome/lug', 'restore area back to its serviceable con']","[0.0, 0.1, 2.0, 0.5]","['gah310zz', 'gah310a1', 'gah330a1', 'gah330a1']",ms24665-153:96906 (cotter pin),"['gah3', 'gah3', 'gah3', 'gah3']",805472293
lh mlg bonding cable broken 1ea,"['obey all of the warnings, cautions, and', 'replace bonding at lh mlg door', 'do resistance test of bonding', 'restore area back to its serviceable con']","[0.1, 3.0, 1.0, 0.1]","['gah310e1', 'gah310e1', 'gah310e1', 'gah310e1']",e0092-10-250nn:f5442 (lead),"['gah3', 'gah3', 'gah3', 'gah3']",805128825
lh mlg bracket near pitch trim manifold found crack,"['obey all of the warnings, caution, and n', 'replace lh mlg bracket', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1']",f5755196520000:fape3 (bracket),"['gah3', 'gah3', 'gah3']",805577308
lh mlg bracket wing spar found crack,"['obey all of the warnings, cautions, and', 'replace bracket', 'restore area back to its serviceable con']","[0.1, 2.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1']",f5755196520000:fape3 (bracket),"['gah3', 'gah3', 'gah3']",805378971
lh mlg brake rod pins #6 found out of limit,"['obey all of the warnings, cautions, and', 'replace lh mlg wheel brake #6', 'do the test and leak check', 'do the bite test of the normal braking s', 'restore area back to its serviceable con']","[0.1, 10.0, 2.0, 2.0, 0.1]","['gah330a1', 'gah320a1', 'gah320a1', 'gah320a1', 'gah320a1']","ms17825-4:96906 (nut)
ms24665-153:96906 (cotter pin)
ms24665-304:96906 (cotter pin (b4/s54-10-0088))
68-1363:97153 (packing)
abs0836b06:fape3 (tube (atum-24/8-0-stk))
2-1578-7:fape3 (brake)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805254584
lh mlg connector fin 27ga1-a found corrosion,"['obey all of the warnings, cautions, and', 'do flight configuration for prepare repl', 'replace connector lh mlg fin 27ga1-a', 'do ground configuration after replace co', 'do a bite test of the mlg', 'restore area back to its serviceable con']","[0.1, 2.0, 4.0, 2.0, 1.0, 0.5]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",en3646rs60898dn:i9005 (connector),"['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805464195
lh mlg door aft upper corner rubber seal torn,"['obey all of the warnings, caution, and n', 'replace seal at lh mlg door aft upper co', 'restore area back to its serviceable con']","[0.1, 3.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1']",f5281076600600:fape3 (seal assy),"['gah3', 'gah3', 'gah3']",805469339
"lh mlg door bypass valve 5228 found black deposit at port (b, c)","['obey all of the warnings, cautions, and', 'replace packing union of the bypass valv', 'do functional test of the bypass valve a', 'restore area back to its serviceable con']","[0.1, 2.0, 1.0, 0.5]","['gah330a1', 'gah320a1', 'gah320a1', 'gah320a1']","100-909-2275:k2523 (o-ring)
7016mr954p4:k2523 (oring)
hte960023-035:k2523 (spring, corrugated)
hte960023-045:k2523 (ring, anti extrusion)
hte960023-027:k2523 (seal assembly)
hte7300e8-611:k2523 (seal, oring)","['gah3', 'gah3', 'gah3', 'gah3']",805259920
"lh mlg door bypass valve found leak from body, port b, and black depositat port a <(>&<)> c","['obey all of the warnings, cautions, and', 'replace lh mlg door bypass valve', 'do functional test and examine for leaka', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']","ms24665-153:96906 (cotter pin)
12d0024:k2523 (valve-l/g bypass, (postmod))","['gah3', 'gah3', 'gah3', 'gah3']",805571379
lh mlg door ctr hinge bonding broken,"['obey all of the warnings, cautions, and', 'replace bonding', 'restore area back to its serviceable con', 'restore area back to its serviceable con']","[0.1, 3.0, 2.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",e0092-10-300nn:f5442 (lead),"['gah3', 'gah3', 'gah3', 'gah3']",805469487
lh mlg door ctr hinge fitting bonding lead broken,"['obey all of the warnings, cautions, and', 'replace bonding', 'do a resistance check of the bonding', 'restore area back to its serviceable con']","[0.1, 3.0, 2.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",e0092-10-250nn:f5442 (lead),"['gah3', 'gah3', 'gah3', 'gah3']",805369732
lh mlg door fwd seal (ipc item 80) torn,"['obey all of the warnings, caution, and n', 'replace lh mlg door fwd seal', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1']",f5281056300600:fape3 (seal assy (lh)),"['gah3', 'gah3', 'gah3']",805425813
lh mlg door pos fwd-downside found dent,"['obey all warnings, cautions, and notes a', 'preliminary assessment:', 'remove mlg door seals for repair access', 'remove metallic angle', 'do external dvi on the metallic angle to', 'do hfec inspection to the metallic angle', 'do an external dvi to the monolithic ski', 'do an ultrasonic inspection to the monol', 'do a tap test to the adjacent sandwich s', 'dress out dent.', 'do external dvi on the metallic angle.', 'do hfec inspection to the metallic angle', 're-install metallic angle refer to airbu', 'apply new sealant to the metallic angle', 'restore surface protection and paint fin', 'do an operational test of the mlg door', 'do the adjustment of the mlg door', 'restore area back to its serviceable con', 'perform damage recording by mapping.', 'engineering note:']","[0.1, 1.0, 4.0, 12.0, 2.0, 6.0, 2.0, 6.0, 6.0, 12.0, 2.0, 6.0, 12.0, 2.0, 4.0, 6.0, 6.0, 1.0, 1.0, 1.0]","['gah330s1', 'gah330s1', 'gah330a1', 'gah330a1', 'gah330a1', 'w807', 'gah330s1', 'w808', 'w301', 'w301', 'w301', 'w807', 'gah330a1', 'gah330s1', 'w403', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330s1', 'gah330s1']","ps870b2:83574 (sealant bms 5-95 class b2 (ea) (ct 20))
f5281055220400:fape3 (angle)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'wsnc', 'gah3', 'wsnc', 'wsst', 'wsst', 'wsst', 'wsnc', 'gah3', 'gah3', 'wspt', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805569467
lh mlg door pos fwd-midside found dent,"['obey all warnings, cautions, and notes a', 'preliminary assessment:', 'remove mlg door seals for repair access', 'remove metallic angle', 'do external dvi on the metallic angle to', 'do hfec inspection to the metallic angle', 'do an external dvi to the monolithic ski', 'do an ultrasonic inspection to the monol', 'do a tap test to the adjacent sandwich s', 'dress out dent.', 'do external dvi on the metallic angle.', 'do hfec inspection to the metallic angle', 're-install metallic angle refer to airbu', 'apply new sealant to the metallic angle', 'restore surface protection and paint fin', 'do an operational test of the mlg door', 'do the adjustment of the mlg door', 'restore area back to its serviceable con', 'perform damage recording by mapping', 'engineering note:']","[0.1, 1.0, 4.0, 12.0, 2.0, 6.0, 2.0, 6.0, 6.0, 12.0, 2.0, 6.0, 12.0, 2.0, 4.0, 6.0, 6.0, 1.0, 1.0, 1.0]","['gah330s1', 'gah330s1', 'gah330a1', 'gah330a1', 'gah330a1', 'w807', 'gah330s1', 'w808', 'w301', 'w301', 'w301', 'w807', 'gah330a1', 'gah330s1', 'w403', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330s1', 'gah330s1']","ps870b2:83574 (sealant bms 5-95 class b2 (ea) (ct 20))
f5281055320200:fape3 (angle)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'wsnc', 'gah3', 'wsnc', 'wsst', 'wsst', 'wsst', 'wsnc', 'gah3', 'gah3', 'wspt', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805569468
